feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,275841.44704437256,164,55772.39228057861,221,0.4715183924704615,0.18511194676264098,0.3283151696165513,0.14774774774761465,0.14444444444435003,0.14609609609598234,47.15%,18.51%,32.83%,14.77%,14.44%,14.61%
hl_ratio,110036.6316947937,116,32011.56488800049,180,0.1880946327882594,0.10624832202867267,0.14717147740846603,0.10450450450441036,0.11764705882345251,0.11107578166393144,18.81%,10.62%,14.72%,10.45%,11.76%,11.11%
ma5_bias,60282.824714660645,162,39914.82247543335,172,0.10304637286238919,0.13247971247031523,0.11776304266635221,0.14594594594581448,0.11241830065352129,0.12918212329966788,10.3%,13.25%,11.78%,14.59%,11.24%,12.92%
v_dry,19036.503524780273,82,44249.09287261963,80,0.03254065564272782,0.1468654183403901,0.08970303699155896,0.07387387387380732,0.05228758169931223,0.06308072778655978,3.25%,14.69%,8.97%,7.39%,5.23%,6.31%
ma60_bias,26227.611083984375,92,18458.99476623535,134,0.0448330051526717,0.06126652124350613,0.05304976319808891,0.08288288288280822,0.08758169934634799,0.08523229111457811,4.48%,6.13%,5.3%,8.29%,8.76%,8.52%
rsi_14,7630.25301361084,54,23653.766677856445,113,0.01304301682604618,0.0785082837397318,0.04577565028288899,0.04864864864860482,0.07385620915027853,0.06125242889944167,1.3%,7.85%,4.58%,4.86%,7.39%,6.13%
cost_concentration,37410.23338317871,63,7818.669300079346,76,0.06394837793880798,0.025950636794451806,0.04494950736662989,0.05675675675670563,0.04967320261434662,0.053214979685526125,6.39%,2.6%,4.49%,5.68%,4.97%,5.32%
ma20_bias,11971.634422302246,82,20599.818061828613,110,0.020464095872945277,0.06837204337941208,0.044418069626178676,0.07387387387380732,0.07189542483655431,0.07288464935518082,2.05%,6.84%,4.44%,7.39%,7.19%,7.29%
winner_ratio,8688.352703094482,72,17911.349281311035,106,0.014851713343573386,0.05944885272141528,0.03715028303249433,0.06486486486480643,0.06928104575158871,0.06707295530819757,1.49%,5.94%,3.72%,6.49%,6.93%,6.71%
rs_rank,11709.553016662598,97,14403.869537353516,110,0.020016098646974637,0.04780731508809771,0.033911706867536175,0.08738738738730865,0.07189542483655431,0.07964140611193149,2.0%,4.78%,3.39%,8.74%,7.19%,7.96%
v_trend,6462.020645141602,44,9011.582927703857,75,0.011046061494224836,0.029909989350432334,0.020478025422328586,0.03963963963960393,0.04901960784310522,0.044329623741354574,1.1%,2.99%,2.05%,3.96%,4.9%,4.43%
ind_excess,3779.2351112365723,31,9301.96340560913,69,0.006460156309039159,0.03087377973791459,0.018666968023476876,0.027927927927902767,0.0450980392156568,0.03651298357177978,0.65%,3.09%,1.87%,2.79%,4.51%,3.65%
v_ratio,5433.108116149902,44,6074.91268157959,57,0.009287256982208045,0.02016300300053378,0.014725129991370912,0.03963963963960393,0.037254901960759965,0.03844727080018195,0.93%,2.02%,1.47%,3.96%,3.73%,3.84%
ind_rank,497.3514938354492,7,2107.2756118774414,27,0.0008501636696690825,0.00699417534248222,0.0039221695060756515,0.006306306306300625,0.01764705882351788,0.011976682564909252,0.09%,0.7%,0.39%,0.63%,1.76%,1.2%
