feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,325007.0920124054,272,55107.90077018738,229,0.5004283047309197,0.20430933361238168,0.3523688191716507,0.12769953051637198,0.1467948717947777,0.13724720115557484,50.04%,20.43%,35.24%,12.77%,14.68%,13.72%
ma5_bias,73553.63686561584,338,52413.50792121887,190,0.11325390340112595,0.1943200289978149,0.1537869661994704,0.15868544600931517,0.12179487179479372,0.14024015890205443,11.33%,19.43%,15.38%,15.87%,12.18%,14.02%
hl_ratio,98348.81873703003,227,27877.30051422119,166,0.1514321805352539,0.10335346858383462,0.12739282455954426,0.1065727699530016,0.1064102564101882,0.1064915131815949,15.14%,10.34%,12.74%,10.66%,10.64%,10.65%
v_dry,22869.490718841553,132,28677.77177810669,79,0.03521320227083705,0.10632116918963927,0.07076718573023816,0.0619718309858864,0.05064102564099318,0.056306428313439794,3.52%,10.63%,7.08%,6.2%,5.06%,5.63%
winner_ratio,21364.585121154785,209,15454.098766326904,118,0.032896030198168204,0.057295171407369214,0.04509560080276871,0.09812206572765346,0.07564102564097715,0.0868815456843153,3.29%,5.73%,4.51%,9.81%,7.56%,8.69%
rsi_14,10496.26725769043,103,19051.163051605225,143,0.01616158342036484,0.07063107781670372,0.043396330618534276,0.04835680751171439,0.0916666666666079,0.07001173708916114,1.62%,7.06%,4.34%,4.84%,9.17%,7.0%
ma60_bias,19797.770210266113,167,15174.371788024902,130,0.030483533520547345,0.05625809992158319,0.04337081672106527,0.0784037558685078,0.08333333333327991,0.08086854460089385,3.05%,5.63%,4.34%,7.84%,8.33%,8.09%
rs_rank,18602.649168014526,174,15528.833850860596,143,0.028643350915857034,0.05757224738205058,0.04310779914895381,0.08169014084503207,0.0916666666666079,0.08667840375581998,2.86%,5.76%,4.31%,8.17%,9.17%,8.67%
ma20_bias,16885.59066772461,148,16180.858066558838,134,0.02599951730255514,0.059989589199587405,0.04299455325107127,0.06948356807508475,0.08589743589738083,0.07769050198623279,2.6%,6.0%,4.3%,6.95%,8.59%,7.77%
v_trend,13467.97170639038,123,11173.006866455078,81,0.020737252862579617,0.0414232724423961,0.03108026265248786,0.057746478873212326,0.05192307692304364,0.05483477789812798,2.07%,4.14%,3.11%,5.77%,5.19%,5.48%
cost_concentration,18421.52292060852,127,6452.64416885376,81,0.02836446253723605,0.023922802570072378,0.026143632553654213,0.059624413145511916,0.05192307692304364,0.055773745034277775,2.84%,2.39%,2.61%,5.96%,5.19%,5.58%
v_ratio,10642.456897735596,110,6636.311599731445,66,0.016386678304553502,0.024603738876563273,0.020495208590558388,0.05164319248823866,0.042307692307665186,0.04697544239795193,1.64%,2.46%,2.05%,5.16%,4.23%,4.7%
