feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,828699.9020996094,168,152509.83352661133,187,0.456537058133487,0.18834663425033127,0.32244184619190913,0.13999999999988333,0.16403508771915434,0.15201754385951882,45.65%,18.83%,32.24%,14.0%,16.4%,15.2%
ma5_bias,242285.14950561523,221,153681.3468322754,135,0.13347672553656237,0.1897934300601425,0.16163507779835243,0.18416666666651318,0.11842105263147507,0.1512938596489941,13.35%,18.98%,16.16%,18.42%,11.84%,15.13%
hl_ratio,314313.8272705078,129,77186.37825012207,134,0.17315787013995143,0.09532365367671047,0.13424076190833095,0.10749999999991042,0.1175438596490197,0.11252192982446506,17.32%,9.53%,13.42%,10.75%,11.75%,11.25%
v_dry,66251.38987731934,98,128115.12127685547,79,0.036498392910646764,0.1582196461112673,0.09735901951095703,0.08166666666659861,0.0692982456139743,0.07548245614028645,3.65%,15.82%,9.74%,8.17%,6.93%,7.55%
ma60_bias,73574.91032409668,89,38612.00907897949,78,0.04053297584167055,0.047685069109986655,0.0441090224758286,0.07416666666660486,0.06842105263151893,0.0712938596490619,4.05%,4.77%,4.41%,7.42%,6.84%,7.13%
rsi_14,15403.492980957031,37,59790.45129394531,103,0.008485901051380435,0.07384002723705015,0.04116296414421529,0.03083333333330764,0.0903508771929032,0.06059210526310542,0.85%,7.38%,4.12%,3.08%,9.04%,6.06%
winner_ratio,48029.52388000488,123,40542.15199279785,64,0.02645982879951378,0.050068757512455354,0.03826429315598456,0.10249999999991459,0.05614035087714374,0.07932017543852916,2.65%,5.01%,3.83%,10.25%,5.61%,7.93%
ma20_bias,36571.69575500488,78,40507.96203613281,73,0.02014762442790294,0.05002653359079655,0.03508707900934974,0.06499999999994584,0.06403508771924207,0.06451754385959396,2.01%,5.0%,3.51%,6.5%,6.4%,6.45%
rs_rank,41596.17678833008,92,36302.74710845947,83,0.022915649117890253,0.04483317615533439,0.03387441263661232,0.07666666666660278,0.07280701754379579,0.07473684210519929,2.29%,4.48%,3.39%,7.67%,7.28%,7.47%
cost_concentration,92955.52670288086,42,13194.052963256836,39,0.05120990432201238,0.016294394992677107,0.03375214965734474,0.03499999999997083,0.034210526315759465,0.03460526315786515,5.12%,1.63%,3.38%,3.5%,3.42%,3.46%
v_ratio,26025.726043701172,57,24987.204887390137,61,0.014337769768858056,0.03085870485224921,0.02259823731055363,0.047499999999960414,0.053508771929777627,0.05050438596486902,1.43%,3.09%,2.26%,4.75%,5.35%,5.05%
v_trend,20274.84204864502,44,24332.905921936035,52,0.011169564180661536,0.030050658544105737,0.020610111362383637,0.036666666666636115,0.045614035087679285,0.0411403508771577,1.12%,3.01%,2.06%,3.67%,4.56%,4.11%
ind_excess,8477.417083740234,18,16521.211959838867,43,0.004670273335589375,0.020403370683825507,0.012536822009707441,0.0149999999999875,0.03771929824558095,0.026359649122784226,0.47%,2.04%,1.25%,1.5%,3.77%,2.64%
ind_rank,726.9140014648438,4,3446.1629486083984,9,0.0004004624338726074,0.0042559432230665495,0.0023282028284695782,0.0033333333333305554,0.007894736842098338,0.005614035087714447,0.04%,0.43%,0.23%,0.33%,0.79%,0.56%
