feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,340409.82180404663,237,69716.72372055054,298,0.5295881572464942,0.21133298944251697,0.3704605733445056,0.13389830508467013,0.14825870646758793,0.14107850577612902,52.96%,21.13%,37.05%,13.39%,14.83%,14.11%
hl_ratio,97318.61561584473,181,37084.845626831055,224,0.15140217176061058,0.11241565683360213,0.13190891429710636,0.10225988700559194,0.1114427860695963,0.10685133653759413,15.14%,11.24%,13.19%,10.23%,11.14%,10.69%
ma5_bias,63979.55955886841,267,39378.02417373657,228,0.09953536848219303,0.11936699148876374,0.10945117998547839,0.15084745762703342,0.11343283582083909,0.13214014672393626,9.95%,11.94%,10.95%,15.08%,11.34%,13.21%
v_dry,19913.53256225586,109,45393.297399520874,114,0.030980219542501387,0.1376011483062019,0.08429068392435164,0.061581920903920014,0.05671641791041954,0.05914916940716978,3.1%,13.76%,8.43%,6.16%,5.67%,5.91%
ma60_bias,22510.954475402832,154,21158.27276611328,189,0.03502112493496388,0.06413728007394669,0.049579202504455286,0.08700564971746497,0.09402985074622187,0.09051775023184341,3.5%,6.41%,4.96%,8.7%,9.4%,9.05%
rs_rank,20656.31537246704,183,22066.48501586914,193,0.032135794248335084,0.06689035278801404,0.049513073518174563,0.10338983050841616,0.09601990049746467,0.09970486550294042,3.21%,6.69%,4.95%,10.34%,9.6%,9.97%
ma20_bias,15915.234432220459,133,22670.165683746338,161,0.024759919177530013,0.06872029592651435,0.04674010755202218,0.07514124293781066,0.08009950248752234,0.0776203727126665,2.48%,6.87%,4.67%,7.51%,8.01%,7.76%
winner_ratio,16182.715171813965,149,20243.81949043274,154,0.025176048862712234,0.06136528887668816,0.0432706688697002,0.08418079096040441,0.07661691542284746,0.08039885319162593,2.52%,6.14%,4.33%,8.42%,7.66%,8.04%
rsi_14,7846.180021286011,75,23679.246324539185,128,0.012206592620847,0.07177913198516382,0.04199286230300541,0.04237288135590826,0.06368159203976931,0.053027236697838785,1.22%,7.18%,4.2%,4.24%,6.37%,5.3%
cost_concentration,20573.663162231445,117,9795.578886032104,116,0.03200720914618073,0.02969343449934594,0.030850321822763337,0.06610169491521689,0.05771144278604094,0.06190656885062892,3.2%,2.97%,3.09%,6.61%,5.77%,6.19%
v_trend,9911.042530059814,90,11274.36861038208,107,0.015418975639625961,0.03417610431694144,0.024797539978283697,0.05084745762708992,0.05323383084574466,0.052040644236417286,1.54%,3.42%,2.48%,5.08%,5.32%,5.2%
v_ratio,7564.529407501221,75,7429.5689907073975,98,0.011768418338004207,0.02252132546229783,0.01714487190015102,0.04237288135590826,0.04875621890544838,0.045564550130678325,1.18%,2.25%,1.71%,4.24%,4.88%,4.56%
