date,code,open,high,low,close,preclose,volume,amount,pctChg,turn,peTTM,pbMRQ
2026-01-13,sz.159138,1.015,1.019,1.001,1.006,1.015,87849325,88912577.147,-0.8867,29.305779,,
2026-01-14,sz.159138,1.005,1.009,0.989,0.998,1.006,23001728,23063472.635,-0.7952,10.210831,,
2026-01-15,sz.159138,0.996,1.005,0.993,0.998,0.998,5597808,5596187.769,0.0,2.600391,,
2026-01-16,sz.159138,1.002,1.023,0.999,1.011,0.998,40644767,41271162.548,1.3026,18.837261,,
2026-01-19,sz.159138,1.011,1.033,1.006,1.03,1.011,33595967,34487824.01,1.8793,17.61091,,
2026-01-20,sz.159138,1.03,1.03,1.015,1.024,1.03,12357269,12625754.555,-0.5825,7.30042,,
2026-01-21,sz.159138,1.024,1.044,1.008,1.035,1.024,25112056,25850063.407,1.0742,15.333928,,
2026-01-22,sz.159138,1.037,1.044,1.031,1.033,1.035,16267838,16855719.876,-0.1932,11.084055,,
2026-01-23,sz.159138,1.035,1.064,1.035,1.047,1.033,23166310,24477662.838,1.3553,16.34101,,
2026-01-26,sz.159138,1.05,1.078,1.05,1.052,1.047,14994679,15882248.139,0.4776,11.828449,,
2026-01-27,sz.159138,1.05,1.062,1.042,1.042,1.052,9238969,9703112.736,-0.9506,7.618642,,
2026-01-28,sz.159138,1.041,1.051,1.029,1.042,1.042,9901091,10269772.768,0.0,8.131116,,
2026-01-29,sz.159138,1.036,1.042,1.021,1.027,1.042,10133867,10411104.776,-1.4395,8.568568,,
2026-01-30,sz.159138,1.025,1.03,1.003,1.024,1.027,12180938,12410425.632,-0.2921,10.521859,,
2026-02-02,sz.159138,1.024,1.024,0.996,0.996,1.024,6260928,6318485.389,-2.7344,5.626894,,
2026-02-03,sz.159138,1.005,1.058,1.001,1.055,0.996,19011102,19710101.033,5.9237,17.240827,,
2026-02-04,sz.159138,1.055,1.077,1.048,1.077,1.055,24913822,26649150.207,2.0853,24.125422,,
2026-02-05,sz.159138,1.077,1.077,1.06,1.065,1.077,10826283,11550754.883,-1.1142,12.196166,,
2026-02-06,sz.159138,1.051,1.064,1.043,1.053,1.065,4445815,4693782.688,-1.1268,5.18354,,
2026-02-09,sz.159138,1.067,1.096,1.06,1.091,1.053,11079695,12065671.756,3.6087,13.070622,,
2026-02-10,sz.159138,1.09,1.099,1.08,1.097,1.091,13769337,15027448.412,0.55,16.737188,,
2026-02-11,sz.159138,1.096,1.11,1.096,1.102,1.097,6018448,6647728.956,0.4558,7.738985,,
2026-02-12,sz.159138,1.102,1.129,1.1,1.124,1.102,10777282,12023991.552,1.9964,14.130819,,
2026-02-13,sz.159138,1.117,1.117,1.092,1.093,1.124,6092201,6696581.974,-2.758,8.314963,,
2026-02-24,sz.159138,1.095,1.137,1.095,1.135,1.093,11982287,13534183.771,3.8426,16.466441,,
2026-02-25,sz.159138,1.136,1.152,1.126,1.131,1.135,13861784,15770500.029,-0.3524,19.727044,,
2026-02-26,sz.159138,1.13,1.137,1.121,1.134,1.131,6868455,7759712.41,0.2653,10.061028,,
2026-02-27,sz.159138,1.134,1.135,1.108,1.12,1.134,5779817,6454865.46,-1.2346,8.528839,,
2026-03-02,sz.159138,1.119,1.123,1.099,1.114,1.12,11768072,13096905.702,-0.5357,17.238069,,
2026-03-03,sz.159138,1.113,1.113,1.068,1.071,1.114,10132611,10967385.583,-3.86,15.524641,,
2026-03-04,sz.159138,1.071,1.077,1.056,1.06,1.071,13898303,14809078.196,-1.0271,21.625567,,
2026-03-05,sz.159138,1.072,1.098,1.072,1.085,1.06,13488108,14689101.41,2.3585,19.332821,,
2026-03-06,sz.159138,1.082,1.105,1.064,1.098,1.085,10842601,11842541.594,1.1982,14.69826,,
2026-03-09,sz.159138,1.068,1.087,1.039,1.069,1.098,12366000,13053676.494,-2.6412,16.429309,,
2026-03-10,sz.159138,1.084,1.104,1.073,1.101,1.069,10216216,11191374.392,2.9935,13.052877,,
