date,code,open,high,low,close,preclose,volume,amount,pctChg,turn,peTTM,pbMRQ
2026-01-05,sz.159619,1.054,1.059,1.052,1.059,1.054,10039600,10602780.4,0.4744,7.276074,,
2026-01-06,sz.159619,1.061,1.076,1.056,1.076,1.059,7147700,7659330.3,1.6053,5.374978,,
2026-01-07,sz.159619,1.076,1.085,1.076,1.078,1.076,6938700,7492695.2,0.1859,5.297486,,
2026-01-08,sz.159619,1.081,1.088,1.077,1.083,1.078,5421804,5873783.636,0.4638,4.139382,,
2026-01-09,sz.159619,1.081,1.1,1.081,1.096,1.083,8985400,9837561.9,1.2004,6.860079,,
2026-01-12,sz.159619,1.094,1.107,1.094,1.106,1.096,9909114,10937737.731,0.9124,7.623509,,
2026-01-13,sz.159619,1.106,1.109,1.096,1.1,1.106,8664700,9559052.4,-0.5425,6.770301,,
2026-01-14,sz.159619,1.1,1.107,1.082,1.088,1.1,9001217,9880310.317,-1.0909,7.1449,,
2026-01-15,sz.159619,1.082,1.09,1.08,1.081,1.088,6413302,6957916.668,-0.6434,5.214872,,
2026-01-16,sz.159619,1.088,1.114,1.088,1.089,1.081,9197757,10111705.3,0.7401,7.666011,,
2026-01-19,sz.159619,1.089,1.095,1.081,1.089,1.089,7369904,8026391.264,0.0,6.142559,,
2026-01-20,sz.159619,1.095,1.116,1.089,1.116,1.089,10581757,11689063.449,2.4793,8.893652,,
2026-01-21,sz.159619,1.107,1.115,1.102,1.108,1.116,7857004,8699320.324,-0.7168,6.54854,,
2026-01-22,sz.159619,1.104,1.116,1.103,1.109,1.108,7511900,8328657.9,0.0903,6.260908,,
2026-01-23,sz.159619,1.109,1.118,1.106,1.108,1.109,7244293,8067981.509,-0.0902,6.088613,,
2026-01-26,sz.159619,1.109,1.125,1.109,1.116,1.108,8807673,9821344.999,0.722,7.402587,,
2026-01-27,sz.159619,1.119,1.119,1.095,1.101,1.116,6337664,6980937.964,-1.3441,5.371766,,
2026-01-28,sz.159619,1.099,1.127,1.094,1.107,1.101,10385790,11550625.596,0.545,8.878185,,
2026-01-29,sz.159619,1.111,1.117,1.096,1.11,1.107,8173443,9028669.312,0.271,7.170882,,
2026-01-30,sz.159619,1.111,1.112,1.087,1.101,1.11,9759800,10741211.6,-0.8108,8.562655,,
2026-02-02,sz.159619,1.1,1.1,1.061,1.062,1.101,6571700,7095345.4,-3.5422,5.715466,,
2026-02-03,sz.159619,1.07,1.095,1.07,1.095,1.062,8158815,8825684.905,3.1073,7.095794,,
2026-02-04,sz.159619,1.095,1.114,1.092,1.114,1.095,7072600,7823757.5,1.7352,6.205069,,
2026-02-05,sz.159619,1.104,1.11,1.095,1.099,1.114,7090800,7793319.2,-1.3465,6.56671,,
2026-02-06,sz.159619,1.098,1.099,1.085,1.09,1.099,6279201,6870167.695,-0.8189,5.815098,,
2026-02-09,sz.159619,1.103,1.109,1.1,1.106,1.09,5653313,6245660.163,1.4679,5.23547,,
2026-02-10,sz.159619,1.109,1.109,1.097,1.103,1.106,9715500,10703631.5,-0.2712,8.997416,,
2026-02-11,sz.159619,1.108,1.111,1.102,1.105,1.103,3500100,3870892.2,0.1813,3.302573,,
2026-02-12,sz.159619,1.105,1.113,1.1,1.109,1.105,2999078,3326178.31,0.362,2.829826,,
2026-02-13,sz.159619,1.109,1.109,1.091,1.092,1.109,4465000,4896992.1,-1.5329,4.25315,,
2026-02-24,sz.159619,1.102,1.129,1.102,1.127,1.092,8551300,9615465.0,3.2051,8.385189,,
2026-02-25,sz.159619,1.131,1.153,1.127,1.136,1.127,11243000,12861441.6,0.7986,11.133777,,
2026-02-26,sz.159619,1.137,1.145,1.132,1.14,1.136,8634400,9807824.1,0.3521,8.550519,,
2026-02-27,sz.159619,1.138,1.149,1.134,1.148,1.14,5907311,6738877.307,0.7018,5.736311,,
2026-03-02,sz.159619,1.148,1.153,1.129,1.14,1.148,11191000,12738992.1,-0.6969,10.762542,,
2026-03-03,sz.159619,1.142,1.143,1.107,1.108,1.14,9290600,10413307.9,-2.807,8.684345,,
2026-03-04,sz.159619,1.107,1.112,1.094,1.1,1.108,5686800,6251224.8,-0.722,5.31571,,
2026-03-05,sz.159619,1.108,1.121,1.108,1.115,1.1,6211600,6934957.8,1.3636,5.806264,,
2026-03-06,sz.159619,1.115,1.134,1.108,1.134,1.115,7219769,8111004.647,1.704,6.686147,,
2026-03-09,sz.159619,1.127,1.127,1.099,1.108,1.134,7117200,7881427.2,-2.2928,6.591159,,
2026-03-10,sz.159619,1.111,1.135,1.111,1.131,1.108,7414500,8342852.9,2.0758,6.866485,,
