date,code,open,high,low,close,preclose,volume,amount,pctChg,turn,peTTM,pbMRQ
2021-02-18,sz.300400,9.58141492,9.81250656,9.54586236,9.67029632,9.39476398,2994400,32644867.0,2.9328,1.6418,22.932589,4.017656
2021-02-19,sz.300400,9.69696074,10.1324796,9.5991912,10.07915076,9.67029632,3151300,35215006.0,4.2279,1.7278,23.902165,4.18752
2021-02-22,sz.300400,10.11470332,10.73687312,10.11470332,10.3991238,10.07915076,5720842,67405921.9,3.1746,3.1366,24.660964,4.320457
2021-02-23,sz.300400,10.31913054,10.665768,10.28357798,10.3991238,10.3991238,3845500,45342168.0,0.0,2.1084,24.660964,4.320457
2021-02-24,sz.300400,10.36357124,10.6213273,10.34579496,10.4435645,10.3991238,4032000,47531281.0,0.4274,2.2107,24.766353,4.338921
2021-02-25,sz.300400,10.59466288,10.60355102,10.25691356,10.37245938,10.4435645,3159900,37048650.0,-0.6809,1.7325,24.597731,4.309379
2021-02-26,sz.300400,10.18580844,10.7546494,10.18580844,10.64799172,10.37245938,4662226,55493845.48,2.6564,2.5562,25.251141,4.423853
2021-03-01,sz.300400,10.67465614,11.1990564,10.65687986,11.16350384,10.64799172,5722200,71055980.0,4.8414,3.1374,26.47365,4.638029
2021-03-02,sz.300400,11.26127338,11.35015478,10.90574778,11.05684616,11.16350384,3864200,48020427.0,-0.9554,2.1187,26.220717,4.593717
2021-03-03,sz.300400,10.95907662,11.2434971,10.92352406,11.1990564,11.05684616,3469600,43477111.0,1.2862,1.9023,26.557961,4.6528
2021-03-04,sz.300400,11.07462244,11.35904292,11.07462244,11.12795128,11.1990564,3657200,46143856.0,-0.6349,2.0052,26.389339,4.623258
2021-03-05,sz.300400,11.11906314,11.2434971,10.99462918,11.08351058,11.12795128,2649100,33099727.0,-0.3994,1.4524,26.283951,4.604795
2021-03-08,sz.300400,11.20794454,11.2434971,10.80797824,10.82575452,11.08351058,3225300,39911152.0,-2.3256,1.7684,25.672696,4.497707
2021-03-09,sz.300400,10.8879715,10.9324122,10.33690682,10.3546831,10.82575452,3306055,39369895.5,-4.3514,1.8126,24.555575,4.301994
