timestamp,mode,use_14d,seed,model_seed,feature_count,lookahead_days,purge_gap_bars,tail_bars,max_files,min_train_samples,min_valid_samples,train_samples,valid_samples,AUC_A,AUC_B,best_iter_A,best_iter_B,train_winrate_A,valid_winrate_A,train_winrate_B,valid_winrate_B,auto_tag,remark
20260311_165433,14D_Space,True,42,42,14,5,5,600,1500,5000,1000,540611,147893,0.6405,0.5787,37,51,0.3214,0.2978,0.3091,0.3186,14D_Space|TAIL=600|MAX=1500|LA=5|PG=5,
20260312_115039,14D_Space,True,42,42,14,5,5,600,1500,5000,1000,539226,149318,0.6402,0.5785,39,43,0.3212,0.3002,0.309,0.3207,14D_Space|TAIL=600|MAX=1500|LA=5|PG=5,
20260312_123906,12D_Baseline,False,42,42,12,5,5,600,1500,5000,1000,539226,149318,0.6396,0.5785,59,67,0.3212,0.3002,0.309,0.3207,12D_Baseline|TAIL=600|MAX=1500|LA=5|PG=5,
20260312_124710,14D_Space,True,42,42,14,5,5,600,ALL,5000,1000,1527484,958667,0.6375,0.5742,56,45,0.3235,0.2998,0.294,0.3349,14D_Space|TAIL=600|MAX=ALL|LA=5|PG=5,
20260312_125846,12D_Baseline,False,42,42,12,5,5,600,ALL,5000,1000,1527484,958667,0.6373,0.5747,55,38,0.3235,0.2998,0.294,0.3349,12D_Baseline|TAIL=600|MAX=ALL|LA=5|PG=5,
20260315_172653,14D_Space,True,42,42,14,5,5,600,ALL,5000,1000,1528120,958378,0.6362,0.5752,40,38,0.3222,0.3005,0.2941,0.3356,14D_Space|TAIL=600|MAX=ALL|LA=5|PG=5,
