date,code,open,high,low,close,preclose,volume,amount,pctChg,turn,peTTM,pbMRQ
2020-01-02,sh.600540,3.93,4.04,3.92,4.0,3.92,8059207.0,32060515.0,2.0408,1.7114,-7175.141977,3.004932
2020-01-03,sh.600540,4.0,4.27,4.0,4.23,4.0,19367198.0,80664232.0,5.75,4.1126,-7587.712641,3.177715
2020-01-06,sh.600540,4.16,4.37,4.13,4.24,4.23,18220865.0,77529480.0,0.2364,3.8692,-7605.650495,3.185228
2020-01-07,sh.600540,4.22,4.23,4.1,4.16,4.24,12469719.0,51791030.0,-1.8868,2.6479,-7462.147656,3.125129
2020-01-08,sh.600540,4.12,4.15,4.0,4.01,4.16,9631174.0,39220088.0,-3.6058,2.0452,-7193.079832,3.012444
2020-01-09,sh.600540,4.08,4.15,4.05,4.05,4.01,6472900.0,26457398.0,0.9975,1.3745,-7264.831252,3.042493
2020-01-10,sh.600540,4.07,4.09,3.98,4.0,4.05,4971463.0,19962561.0,-1.2346,1.0557,-7175.141977,3.004932
2020-01-13,sh.600540,4.0,4.01,3.93,4.0,4.0,4333972.0,17195195.0,0.0,0.9203,-7175.141977,3.004932
2020-01-14,sh.600540,4.0,4.07,3.99,4.05,4.0,4946470.0,19936836.0,1.25,1.0504,-7264.831252,3.042493
2020-01-15,sh.600540,4.05,4.07,3.93,3.94,4.05,4651305.0,18430015.0,-2.7161,0.9877,-7067.514847,2.959858
2020-01-16,sh.600540,3.94,3.95,3.86,3.88,3.94,4815700.0,18817288.0,-1.5228,1.0226,-6959.887718,2.914784
2020-01-17,sh.600540,3.88,3.89,3.83,3.85,3.88,3263580.0,12625334.0,-0.7732,0.693,-6906.074153,2.892247
2020-01-20,sh.600540,3.85,3.86,3.8,3.84,3.85,2597060.0,9952641.0,-0.2597,0.5515,-6888.136298,2.884734
2020-01-21,sh.600540,3.83,3.89,3.8,3.85,3.84,3122486.0,11980693.0,0.2604,0.6631,-6906.074153,2.892247
2020-01-22,sh.600540,3.85,3.85,3.76,3.8,3.85,2758100.0,10487904.0,-1.2987,0.5857,-6816.384878,2.854685
2020-01-23,sh.600540,3.8,3.84,3.67,3.73,3.8,3529546.0,13248101.0,-1.8421,0.7495,-6690.819893,2.802099
2020-02-03,sh.600540,3.36,3.4,3.36,3.36,3.73,3428100.0,11525425.0,-9.9196,0.728,-6027.119261,2.524143
2020-02-04,sh.600540,3.12,3.32,3.12,3.31,3.36,6037481.0,19733224.0,-1.4881,1.2821,-5937.429986,2.486581
2020-02-05,sh.600540,3.33,3.54,3.32,3.47,3.31,8469035.0,29278493.0,4.8338,1.7984,-6224.435665,2.606778
2020-02-06,sh.600540,3.52,3.62,3.47,3.58,3.47,9707097.0,34571208.0,3.17,2.0613,-6421.752069,2.689414
2020-02-07,sh.600540,3.57,3.58,3.47,3.54,3.58,7599267.0,26842349.0,-1.1173,1.6137,-6350.00065,2.659365
2020-02-10,sh.600540,3.55,3.89,3.54,3.89,3.54,20374867.0,77584349.0,9.887,4.3266,-6977.825572,2.922296
2020-02-11,sh.600540,3.87,3.87,3.61,3.63,3.89,15503249.0,57316063.0,-6.6838,3.2921,-6511.441344,2.726976
2020-02-12,sh.600540,3.6,3.76,3.55,3.69,3.63,9848352.0,36275712.0,1.6529,2.0913,-6619.068474,2.77205
2020-02-13,sh.600540,3.68,3.82,3.64,3.69,3.69,10740994.0,40116987.0,0.0,2.2808,-6619.068474,2.77205
2020-02-14,sh.600540,3.65,3.73,3.59,3.71,3.69,7232629.0,26462613.0,0.542,1.5358,-6654.944184,2.787074
2020-02-17,sh.600540,3.9,4.08,3.9,4.08,3.71,7239189.0,29303837.0,9.973,1.5372,-7318.644816,3.06503
2020-02-18,sh.600540,4.2,4.44,4.06,4.09,4.08,37123249.0,155850892.0,0.2451,7.8831,-7336.582671,3.072543
2020-02-19,sh.600540,3.97,4.08,3.9,4.01,4.09,20847446.0,82848920.0,-1.956,4.4269,-7336.582671,3.072543
2020-02-20,sh.600540,3.96,4.03,3.93,3.99,4.01,13182413.0,52531691.0,-0.4988,2.7993,-7157.204122,2.997419
2020-02-21,sh.600540,3.96,4.02,3.93,3.95,3.99,11253666.0,44715543.0,-1.0025,2.3897,-7085.452702,2.96737
2020-02-24,sh.600540,3.93,4.08,3.9,4.01,3.95,13705137.0,54772028.0,1.519,2.9103,-7193.079832,3.012444
2020-02-25,sh.600540,3.9,3.95,3.77,3.89,4.01,13225019.0,51273110.0,-2.9925,2.8083,-6977.825572,2.922296
2020-02-26,sh.600540,3.94,4.01,3.83,3.86,3.89,12709347.0,49928373.0,-0.7712,2.6988,-6924.012008,2.899759
2020-02-27,sh.600540,3.86,3.92,3.81,3.85,3.86,8457530.0,32671370.0,-0.2591,1.7959,-6906.074153,2.892247
2020-02-28,sh.600540,3.74,3.8,3.61,3.64,3.85,9609102.0,35621063.0,-5.4545,2.0405,-6529.379199,2.734488
2020-03-02,sh.600540,3.66,3.79,3.63,3.79,3.64,6826990.0,25476843.0,4.1209,1.4497,-6798.447023,2.847173
2020-03-03,sh.600540,3.84,3.92,3.8,3.88,3.79,10481833.0,40430518.0,2.3747,2.2258,-6959.887718,2.914784
2020-03-04,sh.600540,3.82,3.91,3.8,3.91,3.88,8540539.0,32971939.0,0.7732,1.8136,-7013.701282,2.937321
2020-03-05,sh.600540,3.91,4.04,3.89,3.98,3.91,15160600.0,60197918.0,1.7903,3.2193,-7139.266267,2.989907
2020-03-06,sh.600540,3.94,4.12,3.92,4.1,3.98,18462676.0,74449709.0,3.0151,3.9205,-7354.520526,3.080055
2020-03-09,sh.600540,4.01,4.25,4.0,4.12,4.1,18292313.0,75085370.0,0.4878,3.8844,-7390.396236,3.09508
2020-03-10,sh.600540,4.06,4.14,3.86,4.07,4.12,11602584.0,46561277.0,-1.2136,2.4638,-7300.706961,3.057518
2020-03-11,sh.600540,4.05,4.25,3.99,4.07,4.07,19842361.0,81929286.0,0.0,4.2135,-7300.706961,3.057518
2020-03-12,sh.600540,3.94,3.99,3.84,3.94,4.07,12683144.0,49652627.0,-3.1941,2.6933,-7067.514847,2.959858
2020-03-13,sh.600540,3.74,4.07,3.66,4.05,3.94,15777277.0,61637244.0,2.7919,3.3503,-7264.831252,3.042493
2020-03-16,sh.600540,4.04,4.17,3.82,3.84,4.05,18009306.0,72507528.0,-5.1852,3.8243,-6888.136298,2.884734
2020-03-17,sh.600540,3.85,3.95,3.65,3.79,3.84,9948671.0,37635878.0,-1.3021,2.1126,-6798.447023,2.847173
2020-03-18,sh.600540,3.83,3.88,3.67,3.67,3.79,8910778.0,33595053.0,-3.1662,1.8922,-6583.192764,2.757025
2020-03-19,sh.600540,3.65,3.75,3.6,3.71,3.67,8740631.0,32062658.0,1.0899,1.8561,-6654.944184,2.787074
2020-03-20,sh.600540,3.73,3.79,3.67,3.73,3.71,6298107.0,23488078.0,0.5391,1.3374,-6690.819893,2.802099
2020-03-23,sh.600540,3.65,3.83,3.62,3.7,3.73,9534939.0,35684027.0,-0.8043,2.0247,-6637.006329,2.779562
2020-03-24,sh.600540,3.76,3.82,3.67,3.75,3.7,6470386.0,24263436.0,1.3514,1.374,-6726.695603,2.817124
2020-03-25,sh.600540,3.8,3.96,3.76,3.96,3.75,16020382.0,62134361.0,5.6,3.4019,-7103.390557,2.974882
2020-03-26,sh.600540,3.93,4.16,3.91,4.06,3.96,30055616.0,122375306.0,2.5252,6.3823,-7282.769107,3.050006
2020-03-27,sh.600540,4.05,4.09,3.91,3.93,4.06,18229607.0,72732981.0,-3.202,3.871,-7049.576992,2.952345
2020-03-30,sh.600540,3.85,4.32,3.84,4.26,3.93,54883190.0,232025934.0,8.397,11.6544,-7641.526205,3.200252
2020-03-31,sh.600540,4.14,4.67,4.1,4.5,4.26,61710280.0,267757671.0,5.6338,13.1041,-8072.034724,3.380548
2020-04-01,sh.600540,4.37,4.48,4.2,4.29,4.5,41649849.0,179967871.0,-4.6667,8.8443,-7695.33977,3.222789
2020-04-02,sh.600540,4.19,4.25,4.03,4.14,4.29,32249725.0,133026077.0,-3.4965,6.8482,-7426.271946,3.110104
2020-04-03,sh.600540,4.16,4.55,4.15,4.55,4.14,29819193.0,133010352.0,9.9034,6.3321,-8161.723999,3.41811
2020-04-07,sh.600540,5.01,5.01,5.01,5.01,4.55,5028801.0,25194293.0,10.1099,1.0679,-8986.865326,3.763677
