date,code,open,high,low,close,preclose,volume,amount,pctChg,turn,peTTM,pbMRQ
2020-01-02,sz.300381,9.39159276,9.43873931,9.26901173,9.34444621,9.34444621,5167497,51191506.61,0.0,1.2036,34.764372,1.864741
2020-01-03,sz.300381,9.39159276,9.39159276,9.20300656,9.2407238,9.34444621,5122464,50381266.12,-1.11,1.1931,34.378491,1.844042
2020-01-06,sz.300381,9.25015311,9.25015311,9.08985484,9.15586001,9.2407238,4838455,47002448.23,-0.9184,1.1239,34.897136,1.871862
2020-01-07,sz.300381,9.12757208,9.26901173,9.10871346,9.23129449,9.15586001,4095464,39929946.89,0.8239,0.9514,35.184651,1.887284
2020-01-08,sz.300381,9.22186518,9.22186518,8.93898588,9.08985484,9.23129449,5592263,53854669.5,-1.5322,1.2991,34.64556,1.858368
2020-01-09,sz.300381,9.1464307,9.48588586,9.12757208,9.39159276,9.08985484,6941784,68565810.5,3.3195,1.6125,35.79562,1.920056
2020-01-10,sz.300381,9.41045138,9.68390137,9.35387552,9.58017896,9.39159276,8494355,85986359.27,2.008,1.9732,36.514408,1.958612
2020-01-13,sz.300381,9.59903758,9.67447206,9.34444621,9.46702724,9.58017896,5492009,55260209.83,-1.1811,1.2758,36.083135,1.935479
2020-01-14,sz.300381,9.46702724,9.51417379,9.34444621,9.38216345,9.46702724,4120017,41056633.33,-0.8964,0.9571,35.759681,1.918129
2020-01-15,sz.300381,9.3350169,9.41988069,9.23129449,9.38216345,9.38216345,4366904,43220910.84,0.0,1.0144,35.759681,1.918129
2020-01-16,sz.300381,9.36330483,9.40102207,9.16528932,9.19357725,9.38216345,3443368,33750972.06,-2.01,0.7999,35.040893,1.879573
2020-01-17,sz.300381,9.28787035,9.28787035,9.02384967,9.04270829,9.19357725,2942038,28502909.46,-1.641,0.6834,34.465863,1.848729
2020-01-20,sz.300381,9.07099622,9.19357725,8.93898588,9.04270829,9.04270829,4298700,41227619.0,0.0,0.9986,34.465863,1.848729
2020-01-21,sz.300381,9.04270829,9.49531517,9.04270829,9.46702724,9.04270829,10296020,101534905.6,4.6924,2.3917,36.083135,1.935479
2020-01-22,sz.300381,9.39159276,9.49531517,9.25015311,9.41045138,9.46702724,6862496,68172835.37,-0.5976,1.5941,35.867499,1.923912
2020-01-23,sz.300381,9.45759793,9.60846689,9.08042553,9.45759793,9.41045138,6387459,63507609.24,0.501,1.4838,36.047196,1.933551
2020-02-03,sz.300381,9.2407238,9.2407238,8.51466693,8.54295486,9.45759793,15590717,143363632.92,-9.671,3.6216,32.561076,1.746557
2020-02-04,sz.300381,8.94841519,9.40102207,8.7692583,9.40102207,8.54295486,19295244,185085293.2,10.0441,4.4822,35.83156,1.921984
2020-02-05,sz.300381,10.11764963,10.34395307,9.8064824,10.34395307,9.40102207,28650524,310014946.58,10.0301,6.6554,39.425498,2.114761
2020-02-06,sz.300381,10.60797375,11.38117717,10.60797375,11.38117717,10.34395307,18174333,213339125.77,10.0273,4.2218,43.378829,2.326815
2020-02-07,sz.300381,12.258103,12.52212368,10.372241,11.39060648,11.38117717,41107039,510572912.64,0.0829,9.549,43.414769,2.328743
2020-02-10,sz.300381,11.40003579,11.56033406,10.8437065,11.52261682,11.39060648,20013173,237366890.94,1.1589,4.649,43.91792,2.355732
2020-02-11,sz.300381,11.0322927,11.5980513,11.0322927,11.19259097,11.52261682,14094267,167132216.21,-2.8642,3.274,42.660042,2.28826
2020-02-12,sz.300381,11.19259097,11.30574269,10.66454961,10.85313581,11.19259097,15226238,176490522.13,-3.0329,3.537,41.366224,2.21886
2020-02-13,sz.300381,10.9379996,11.17373235,10.61740306,11.00400477,10.85313581,12269012,141787066.76,1.3901,2.85,41.941254,2.249705
2020-02-14,sz.300381,10.96628753,11.23973752,10.73055478,10.8437065,11.00400477,10131310,117824609.44,-1.4567,2.3535,41.330285,2.216933
2020-02-17,sz.300381,10.8437065,11.1265858,10.6551203,10.94742891,10.8437065,11238395,130627301.35,0.9565,2.6106,41.725618,2.238138
2020-02-18,sz.300381,10.97571684,11.01343408,10.62683237,10.8437065,10.94742891,9398501,107581706.61,-0.9475,2.1832,41.330285,2.216933
2020-02-19,sz.300381,10.81541857,10.83427719,10.6551203,10.72112547,10.8437065,6929460,78863139.79,-1.1304,1.6097,41.330285,2.216933
2020-02-20,sz.300381,10.69283754,10.91914098,10.62683237,10.83427719,10.72112547,7202269,82148072.46,1.0554,1.6731,41.294345,2.215005
2020-02-21,sz.300381,10.77770133,11.49432889,10.63626168,11.47547027,10.83427719,16139525,189552550.14,5.9182,3.7491,43.738223,2.346093
2020-02-24,sz.300381,11.54147544,12.13552197,11.37174786,11.38117717,11.47547027,22057814,273857021.53,-0.8217,5.1239,43.378829,2.326815
2020-02-25,sz.300381,11.02286339,11.34345993,10.83427719,10.97571684,11.38117717,13313265,156407593.49,-3.5625,3.0926,41.833436,2.243921
2020-02-26,sz.300381,10.86256512,11.42832372,10.73055478,10.9379996,10.97571684,13121493,154696836.85,-0.3436,3.0481,41.689678,2.23621
