date,code,open,high,low,close,preclose,volume,amount,pctChg,turn,peTTM,pbMRQ
2026-01-05,sz.159967,0.642,0.653,0.637,0.651,0.636,354873446,229057919.113,2.3585,7.263207,,
2026-01-06,sz.159967,0.647,0.655,0.639,0.649,0.651,358141638,231678972.561,-0.3072,7.428312,,
2026-01-07,sz.159967,0.65,0.66,0.644,0.652,0.649,333636653,217516274.803,0.4622,6.929821,,
2026-01-08,sz.159967,0.647,0.65,0.637,0.64,0.652,288483128,185088320.99,-1.8405,6.143814,,
2026-01-09,sz.159967,0.637,0.641,0.621,0.637,0.64,357979200,226085169.1,-0.4688,7.57996,,
2026-01-12,sz.159967,0.63,0.637,0.613,0.634,0.637,479584099,299456363.336,-0.471,10.017829,,
2026-01-13,sz.159967,0.631,0.645,0.619,0.622,0.634,418813025,263841151.875,-1.8927,8.583807,,
2026-01-14,sz.159967,0.624,0.635,0.618,0.627,0.622,380546809,238909918.043,0.8039,7.87636,,
2026-01-15,sz.159967,0.623,0.642,0.62,0.64,0.627,518817044,326957939.795,2.0734,10.907066,,
2026-01-16,sz.159967,0.647,0.651,0.638,0.64,0.64,327294107,210636269.926,0.0,6.764643,,
2026-01-19,sz.159967,0.635,0.648,0.633,0.637,0.64,282730553,180700187.31,-0.4688,5.762595,,
2026-01-20,sz.159967,0.637,0.638,0.614,0.619,0.637,340248591,211741491.299,-2.8257,7.047248,,
2026-01-21,sz.159967,0.615,0.632,0.615,0.626,0.619,227486885,142484276.673,1.1309,4.685326,,
2026-01-22,sz.159967,0.627,0.637,0.623,0.636,0.626,259887666,164149718.595,1.5974,5.405648,,
2026-01-23,sz.159967,0.637,0.637,0.622,0.628,0.636,320561174,201292294.489,-1.2579,6.729522,,
2026-01-26,sz.159967,0.627,0.632,0.622,0.625,0.628,258770845,162277109.521,-0.4777,5.390042,,
2026-01-27,sz.159967,0.625,0.639,0.618,0.634,0.625,321378823,202781678.329,1.44,6.73707,,
2026-01-28,sz.159967,0.636,0.64,0.624,0.631,0.634,199737339,126178152.345,-0.4732,4.329029,,
2026-01-29,sz.159967,0.629,0.635,0.619,0.622,0.631,324442980,203061973.542,-1.4263,7.01634,,
2026-01-30,sz.159967,0.618,0.645,0.614,0.641,0.622,499895504,315301505.548,3.0547,10.69271,,
2026-02-02,sz.159967,0.642,0.658,0.624,0.626,0.641,405035570,259919353.098,-2.3401,8.936634,,
2026-02-03,sz.159967,0.638,0.64,0.614,0.631,0.626,450301604,282673280.944,0.7987,9.861398,,
2026-02-04,sz.159967,0.621,0.623,0.603,0.621,0.631,360763086,221149974.626,-1.5848,7.722299,,
2026-02-05,sz.159967,0.612,0.618,0.605,0.609,0.621,191917800,117072864.9,-1.9324,4.046247,,
2026-02-06,sz.159967,0.603,0.614,0.591,0.602,0.609,257501700,155069519.1,-1.1494,5.386495,,
2026-02-09,sz.159967,0.614,0.632,0.61,0.627,0.602,343792100,213768618.4,4.1528,7.145802,,
2026-02-10,sz.159967,0.626,0.634,0.624,0.625,0.627,129388304,81253515.32,-0.319,2.781763,,
2026-02-11,sz.159967,0.622,0.624,0.609,0.613,0.625,236232900,145178199.8,-1.92,5.108726,,
2026-02-12,sz.159967,0.613,0.625,0.613,0.62,0.613,204512115,126757260.472,1.1419,4.349188,,
2026-02-13,sz.159967,0.617,0.62,0.611,0.612,0.62,156759100,96363841.3,-1.2903,3.400041,,
2026-02-24,sz.159967,0.618,0.63,0.614,0.621,0.612,224381700,139583931.205,1.4706,4.841754,,
2026-02-25,sz.159967,0.621,0.635,0.618,0.633,0.621,184238445,115542625.235,1.9324,3.999006,,
2026-02-26,sz.159967,0.632,0.633,0.623,0.632,0.633,137818204,86565896.524,-0.158,3.006961,,
2026-02-27,sz.159967,0.625,0.626,0.612,0.618,0.632,278122600,171555404.0,-2.2152,6.122669,,
2026-03-02,sz.159967,0.608,0.628,0.604,0.624,0.618,399068362,246964628.487,0.9709,8.474398,,
2026-03-03,sz.159967,0.629,0.637,0.612,0.613,0.624,460031511,287733933.016,-1.7628,10.066983,,
2026-03-04,sz.159967,0.606,0.614,0.598,0.603,0.613,428158783,259050079.9,-1.6313,9.211864,,
2026-03-05,sz.159967,0.612,0.631,0.608,0.615,0.603,349389124,216025259.844,1.99,7.419437,,
2026-03-06,sz.159967,0.611,0.622,0.603,0.616,0.615,250616647,153323956.311,0.1626,5.411828,,
2026-03-09,sz.159967,0.607,0.61,0.587,0.608,0.616,405108092,241192474.644,-1.2987,8.741505,,
2026-03-10,sz.159967,0.62,0.631,0.62,0.63,0.608,350796281,219402349.284,3.6184,7.519901,,
