trade_date,code,name,source_file,source_trade_date,snapshot_mode,snapshot_quality,paused,open_price,prev_close,latest_price,close_price,high_price,low_price,high_limit,low_limit,limit_pct,volume,amount,turnover_amount,turnover_rate,ma10,ma20,price_above_ma10,price_above_ma20,ma10_above_ma20,open_price_source,prev_close_source,latest_price_source
2026-03-20,sz.002655,,C:\quant_system\stock_data_5years\sz.002655.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,16.75,16.77,17.78,17.78,18.28,16.28,18.45,15.09,0.1,41768900.0,719629292.08,719629292.08,,17.045,16.163,True,True,True,open,preclose,close
2026-03-20,sz.002656,,C:\quant_system\stock_data_5years\sz.002656.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,3.04,3.04,3.0,3.0,3.13,3.0,3.34,2.74,0.1,34416492.0,105072431.76,105072431.76,,2.917,2.7935,True,True,True,open,preclose,close
2026-03-20,sz.002663,,C:\quant_system\stock_data_5years\sz.002663.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,2.31,2.31,2.28,2.28,2.34,2.25,2.54,2.08,0.1,34611100.0,79140481.0,79140481.0,,2.274,2.2245,True,True,True,open,preclose,close
2026-03-20,sz.002666,,C:\quant_system\stock_data_5years\sz.002666.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,6.07,6.03,6.12,6.12,6.18,6.04,6.63,5.43,0.1,21738700.0,132513364.0,132513364.0,,5.851,5.798,True,True,True,open,preclose,close
2026-03-20,sz.002667,,C:\quant_system\stock_data_5years\sz.002667.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,28.79,30.11,29.01,29.01,30.32,28.16,33.12,27.1,0.1,39412222.0,1141880734.18,1141880734.18,,28.211000000000002,24.450499999999998,True,True,True,open,preclose,close
2026-03-20,sz.002686,,C:\quant_system\stock_data_5years\sz.002686.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,7.03,7.03,7.16,7.16,7.17,6.99,7.73,6.33,0.1,11885000.0,84586599.0,84586599.0,,6.973000000000001,6.971000000000001,True,True,True,open,preclose,close
2026-03-20,sz.002692,,C:\quant_system\stock_data_5years\sz.002692.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,6.14,6.23,6.09,6.09,6.21,6.0,6.85,5.61,0.1,96660895.0,587480776.07,587480776.07,,5.878,5.754499999999999,True,True,True,open,preclose,close
2026-03-20,sz.002706,,C:\quant_system\stock_data_5years\sz.002706.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,11.76,11.83,11.96,11.96,12.09,11.08,13.01,10.65,0.1,101161566.0,1177841535.8,1177841535.8,,11.892,11.5535,True,True,True,open,preclose,close
2026-03-20,sz.002709,,C:\quant_system\stock_data_5years\sz.002709.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,49.03,48.77,47.85,47.85,49.76,47.5,53.65,43.89,0.1,83902959.0,4051444235.12,4051444235.12,,44.781,43.513,True,True,True,open,preclose,close
2026-03-20,sz.002713,,C:\quant_system\stock_data_5years\sz.002713.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,10.85,10.83,10.6,10.6,11.06,10.52,11.91,9.75,0.1,21156209.0,226883732.61,226883732.61,,10.341999999999999,10.292,True,True,True,open,preclose,close
2026-03-20,sz.002714,,C:\quant_system\stock_data_5years\sz.002714.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,50.03,49.79,49.74,49.74,50.8,49.64,54.77,44.81,0.1,38514278.0,1928526880.39,1928526880.39,,48.697,47.2175,True,True,True,open,preclose,close
2026-03-20,sz.002724,,C:\quant_system\stock_data_5years\sz.002724.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,7.96,7.46,8.21,8.21,8.21,7.73,8.21,6.71,0.1,30845166.0,249140611.46,249140611.46,,7.711999999999999,7.681,True,True,True,open,preclose,close
2026-03-20,sz.002725,,C:\quant_system\stock_data_5years\sz.002725.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,16.66,16.67,16.8,16.8,16.95,16.41,18.34,15.0,0.1,11858425.0,197971632.05,197971632.05,,16.785,16.363000000000003,True,True,True,open,preclose,close
2026-03-20,sz.002729,,C:\quant_system\stock_data_5years\sz.002729.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,19.38,19.41,20.42,20.42,20.57,19.26,21.35,17.47,0.1,19408650.0,393240199.76,393240199.76,,18.799,18.764000000000003,True,True,True,open,preclose,close
2026-03-20,sz.002730,,C:\quant_system\stock_data_5years\sz.002730.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,18.91,19.2,19.68,19.68,19.95,18.91,21.12,17.28,0.1,22608014.0,444790979.02,444790979.02,,18.770000000000003,17.759,True,True,True,open,preclose,close
2026-03-20,sz.002733,,C:\quant_system\stock_data_5years\sz.002733.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,27.26,27.37,28.19,28.19,28.19,26.26,30.11,24.63,0.1,48453758.0,1300895410.85,1300895410.85,,24.961,22.89,True,True,True,open,preclose,close
2026-03-20,sz.002734,,C:\quant_system\stock_data_5years\sz.002734.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,21.23,21.45,22.43,22.43,22.77,21.23,23.6,19.31,0.1,73002018.0,1622455715.93,1622455715.93,,21.217,20.771,True,True,True,open,preclose,close
2026-03-20,sz.002746,,C:\quant_system\stock_data_5years\sz.002746.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,6.46,6.48,6.46,6.46,6.55,6.43,7.13,5.83,0.1,17874309.0,115783528.88,115783528.88,,6.438,6.4094999999999995,True,True,True,open,preclose,close
2026-03-20,sz.002753,,C:\quant_system\stock_data_5years\sz.002753.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,8.14,8.19,8.09,8.09,8.26,8.0,9.01,7.37,0.1,11968740.0,97198323.79,97198323.79,,7.8950000000000005,7.85,True,True,True,open,preclose,close
2026-03-20,sz.002758,,C:\quant_system\stock_data_5years\sz.002758.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,10.77,10.89,10.8,10.8,11.09,10.73,11.98,9.8,0.1,14055697.0,153088587.13,153088587.13,,10.773,10.657499999999999,True,True,True,open,preclose,close
2026-03-20,sz.002768,,C:\quant_system\stock_data_5years\sz.002768.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,53.86,53.86,54.26,54.26,54.8,52.77,59.25,48.47,0.1,2880247.0,155705624.12,155705624.12,,53.400999999999996,53.178,True,True,True,open,preclose,close
2026-03-20,sz.002772,,C:\quant_system\stock_data_5years\sz.002772.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,18.42,18.42,18.32,18.32,18.72,18.05,20.26,16.58,0.1,12780577.0,235153035.36,235153035.36,,18.291000000000004,17.927500000000002,True,True,True,open,preclose,close
2026-03-20,sz.002789,,C:\quant_system\stock_data_5years\sz.002789.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,11.05,10.91,11.46,11.46,11.46,11.0,12.0,9.82,0.1,8857920.0,101018379.9,101018379.9,,10.284,10.269000000000002,True,True,True,open,preclose,close
2026-03-20,sz.002797,,C:\quant_system\stock_data_5years\sz.002797.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,7.57,7.54,7.65,7.65,7.78,7.52,8.29,6.79,0.1,157422341.0,1204263014.67,1204263014.67,,7.554,7.338500000000001,True,True,True,open,preclose,close
2026-03-20,sz.002800,,C:\quant_system\stock_data_5years\sz.002800.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,23.66,23.83,24.68,24.68,24.8,22.75,26.21,21.45,0.1,10781314.0,256424487.26,256424487.26,,23.46,22.1665,True,True,True,open,preclose,close
2026-03-20,sz.002805,,C:\quant_system\stock_data_5years\sz.002805.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,17.79,18.0,17.9,17.9,18.3,17.75,19.8,16.2,0.1,20477763.0,368588982.1,368588982.1,,17.607000000000003,17.086000000000002,True,True,True,open,preclose,close
2026-03-20,sz.002812,,C:\quant_system\stock_data_5years\sz.002812.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,72.97,72.99,71.66,71.66,74.5,71.2,80.29,65.69,0.1,33211699.0,2400557945.56,2400557945.56,,66.347,64.1535,True,True,True,open,preclose,close
2026-03-20,sz.002826,,C:\quant_system\stock_data_5years\sz.002826.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,21.77,21.79,21.56,21.56,22.05,21.4,23.97,19.61,0.1,6693900.0,145018997.0,145018997.0,,21.359,21.034,True,True,True,open,preclose,close
2026-03-20,sz.002831,,C:\quant_system\stock_data_5years\sz.002831.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,34.56,34.56,38.02,38.02,38.02,33.56,38.02,31.1,0.1,37437711.0,1317657227.73,1317657227.73,,32.737,32.099000000000004,True,True,True,open,preclose,close
2026-03-20,sz.002832,,C:\quant_system\stock_data_5years\sz.002832.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,16.85,16.86,17.02,17.02,17.13,16.6,18.55,15.17,0.1,11761400.0,198380768.0,198380768.0,,16.666,16.036499999999997,True,True,True,open,preclose,close
2026-03-20,sz.002840,,C:\quant_system\stock_data_5years\sz.002840.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,9.95,9.95,10.16,10.16,10.17,9.94,10.95,8.96,0.1,16138948.0,162718664.84,162718664.84,,9.882,9.8525,True,True,True,open,preclose,close
2026-03-20,sz.002845,,C:\quant_system\stock_data_5years\sz.002845.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,15.38,15.57,15.66,15.66,15.68,15.29,17.13,14.01,0.1,9210030.0,142879624.6,142879624.6,,15.440000000000001,15.347999999999999,True,True,True,open,preclose,close
2026-03-20,sz.002848,,C:\quant_system\stock_data_5years\sz.002848.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,12.96,12.83,13.18,13.18,13.28,12.81,14.11,11.55,0.1,6844349.0,89652921.35,89652921.35,,12.224,12.2015,True,True,True,open,preclose,close
2026-03-20,sz.002852,,C:\quant_system\stock_data_5years\sz.002852.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,11.87,11.87,11.98,11.98,12.19,11.8,13.06,10.68,0.1,18051957.0,215282044.35,215282044.35,,11.095,11.0885,True,True,True,open,preclose,close
2026-03-20,sz.002857,,C:\quant_system\stock_data_5years\sz.002857.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,25.84,26.19,24.9,24.9,26.19,24.71,28.81,23.57,0.1,9268160.0,232664069.6,232664069.6,,24.4,23.7015,True,True,True,open,preclose,close
2026-03-20,sz.002875,,C:\quant_system\stock_data_5years\sz.002875.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,19.2,19.21,18.97,18.97,19.26,18.85,21.13,17.29,0.1,3567845.0,67783255.5,67783255.5,,18.931,18.596,True,True,True,open,preclose,close
2026-03-20,sz.002876,,C:\quant_system\stock_data_5years\sz.002876.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,27.82,27.92,28.0,28.0,28.09,27.17,30.71,25.13,0.1,4761400.0,131665644.0,131665644.0,,27.857,27.7825,True,True,True,open,preclose,close
2026-03-20,sz.002887,,C:\quant_system\stock_data_5years\sz.002887.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,11.95,11.96,11.79,11.79,12.04,11.74,13.16,10.76,0.1,5049744.0,59829780.44,59829780.44,,11.687,11.4585,True,True,True,open,preclose,close
2026-03-20,sz.002902,,C:\quant_system\stock_data_5years\sz.002902.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,21.95,22.08,22.41,22.41,22.48,21.86,24.29,19.87,0.1,11497411.0,255821015.96,255821015.96,,21.266,21.229499999999998,True,True,True,open,preclose,close
2026-03-20,sz.002903,,C:\quant_system\stock_data_5years\sz.002903.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,30.72,31.03,30.34,30.34,31.06,30.0,34.13,27.93,0.1,28149275.0,858714642.91,858714642.91,,27.645999999999997,25.6295,True,True,True,open,preclose,close
2026-03-20,sz.002923,,C:\quant_system\stock_data_5years\sz.002923.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,15.99,15.94,15.87,15.87,16.13,15.75,17.53,14.35,0.1,6157180.0,97975585.1,97975585.1,,15.727,15.718,True,True,True,open,preclose,close
2026-03-20,sz.002930,,C:\quant_system\stock_data_5years\sz.002930.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,14.05,14.04,14.02,14.02,14.4,13.93,15.44,12.64,0.1,11720254.0,165642215.0,165642215.0,,13.865,13.5405,True,True,True,open,preclose,close
2026-03-20,sz.002952,,C:\quant_system\stock_data_5years\sz.002952.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,26.01,27.16,26.27,26.27,26.61,25.8,29.88,24.44,0.1,9478394.0,248669689.28,248669689.28,,25.990000000000002,24.575000000000003,True,True,True,open,preclose,close
2026-03-20,sz.002980,,C:\quant_system\stock_data_5years\sz.002980.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,35.5,35.14,38.65,38.65,38.65,35.29,38.65,31.63,0.1,13996060.0,519962635.8,519962635.8,,35.626999999999995,30.422999999999995,True,True,True,open,preclose,close
2026-03-20,sz.002982,,C:\quant_system\stock_data_5years\sz.002982.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,15.08,14.96,15.12,15.12,15.38,14.91,16.46,13.46,0.1,7533536.0,113835651.92,113835651.92,,14.934000000000001,14.733500000000001,True,True,True,open,preclose,close
2026-03-20,sz.002999,,C:\quant_system\stock_data_5years\sz.002999.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,7.78,7.82,7.88,7.88,8.23,7.77,8.6,7.04,0.1,22399300.0,178645054.2,178645054.2,,7.7090000000000005,7.678999999999999,True,True,True,open,preclose,close
