trading_date,code,hold_qty,available_qty,cost_price,close_price,unrealized_pnl_pct,hold_days,management_action,management_priority_score,action_reason
2026-03-20,sh.600289,100.0,100.0,8.37,8.37,0.0,1,正常持有,50.0,
2026-03-20,sh.601216,100.0,100.0,6.29,6.29,0.0,1,正常持有,50.0,
2026-03-20,sh.603007,100.0,100.0,6.9,6.9,0.0,1,正常持有,50.0,
2026-03-20,sz.002650,100.0,100.0,6.67,6.67,0.0,1,正常持有,50.0,
2026-03-20,sz.300506,100.0,100.0,5.29,5.29,0.0,1,正常持有,50.0,
