trading_date,code,action,order_shares,order_price,order_type,status
2026-03-20,sh.600289,BUY,100,8.37,LIMIT,PENDING
2026-03-20,sz.002650,BUY,100,6.67,LIMIT,PENDING
2026-03-20,sh.601216,BUY,100,6.29,LIMIT,PENDING
2026-03-20,sz.300506,BUY,100,5.29,LIMIT,PENDING
2026-03-20,sh.603007,BUY,100,6.9,LIMIT,PENDING
