file_name,code,start_date,end_date,initial_cash,final_equity,total_return_pct,trade_count,win_rate_pct,avg_pnl,avg_return_pct,max_drawdown_pct
sh.601599.csv,sh.601599,2020-01-02,2026-03-16,100000.0,130722.7,30.72,81,40.74,360.26,0.48,-41.86
sz.002259.csv,sz.002259,2020-01-02,2026-03-16,100000.0,130694.11,30.69,84,27.38,419.49,0.77,-61.98
sh.603938.csv,sh.603938,2020-01-02,2026-03-16,100000.0,130669.8,30.67,81,43.21,378.64,1.08,-68.14
sh.688468.csv,sh.688468,2021-04-09,2026-03-16,100000.0,130464.15,30.46,61,29.51,466.4,0.68,-33.61
sh.600888.csv,sh.600888,2020-01-02,2026-03-16,100000.0,130331.54,30.33,84,40.48,479.92,0.71,-43.47
sz.002365.csv,sz.002365,2020-01-02,2026-03-16,100000.0,130301.24,30.3,86,41.86,336.05,0.52,-43.89
sz.300701.csv,sz.300701,2021-02-18,2026-03-16,100000.0,130223.1,30.22,68,45.59,437.31,0.55,-30.29
sz.399806.csv,sz.399806,2021-02-18,2026-03-10,100000.0,130178.74,30.18,17,58.82,1775.22,1.83,-9.52
sz.001380.csv,sz.001380,2023-05-16,2026-03-16,100000.0,130182.53,30.18,31,35.48,963.47,1.38,-38.4
sz.000678.csv,sz.000678,2020-01-02,2026-03-16,100000.0,130167.67,30.17,80,37.5,377.1,1.09,-67.93
sh.601956.csv,sh.601956,2020-12-25,2026-03-16,100000.0,130143.84,30.14,73,41.1,431.5,0.54,-41.62
sz.301305.csv,sz.301305,2023-05-23,2026-03-16,100000.0,130061.47,30.06,35,48.57,858.9,0.89,-24.2
sh.601566.csv,sh.601566,2020-01-02,2026-03-16,100000.0,129980.02,29.98,81,33.33,370.12,0.79,-53.68
sh.600298.csv,sh.600298,2020-01-02,2026-03-16,100000.0,129956.9,29.96,79,43.04,379.2,0.55,-42.24
sz.300228.csv,sz.300228,2020-01-02,2026-03-16,100000.0,129866.28,29.87,82,46.34,364.22,0.63,-36.65
sz.301557.csv,sz.301557,2025-03-04,2026-03-16,100000.0,129821.7,29.82,13,38.46,2421.17,3.1,-23.91
sh.603001.csv,sh.603001,2020-01-02,2026-03-16,100000.0,129805.9,29.81,82,42.68,534.35,0.68,-49.03
sh.600148.csv,sh.600148,2020-01-02,2026-03-16,100000.0,129811.2,29.81,89,31.46,334.96,0.58,-50.48
sz.000719.csv,sz.000719,2020-01-02,2026-03-16,100000.0,129767.48,29.77,84,41.67,385.8,0.59,-42.75
