short_ma,long_ma,stock_count,avg_total_return_pct,median_total_return_pct,positive_ratio_pct,avg_win_rate_pct,avg_trade_count,median_trade_count,avg_max_drawdown_pct,median_max_drawdown_pct,robust_pass_ratio_pct
5,10,7113,5.78148319977506,-3.74,33.248980739491074,29.228799381414312,53.145367636721495,70.0,-42.420960213693235,-50.33,0.7029382820188388
10,20,7113,17.487951637846198,0.0,37.97272599465767,27.407669056656825,25.732180514550823,33.0,-40.43046956277239,-48.37,0.5342330943343174
10,30,7113,16.54214115000703,0.0,35.27344299170533,25.141561928862647,18.070012652889076,23.0,-40.447200899761,-48.81,0.32335160972866583
20,60,7113,9.528935751441024,0.0,29.846759454519894,23.316679319555742,9.151694081259665,12.0,-41.093648249683675,-49.98,0.09841135948263742
