file_name,code,start_date,end_date,short_ma,long_ma,initial_cash,final_equity,total_return_pct,trade_count,win_rate_pct,avg_pnl,avg_return_pct,max_drawdown_pct,robust_pass
sz.399320.csv,sz.399320,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399321.csv,sz.399321,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399322.csv,sz.399322,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399324.csv,sz.399324,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399326.csv,sz.399326,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399328.csv,sz.399328,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399330.csv,sz.399330,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399333.csv,sz.399333,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399335.csv,sz.399335,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399337.csv,sz.399337,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399339.csv,sz.399339,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399341.csv,sz.399341,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399344.csv,sz.399344,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399346.csv,sz.399346,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
sz.399348.csv,sz.399348,2021-02-18,2026-03-10,5,10,100000.0,100000.0,0.0,0,0.0,0.0,0.0,0.0,False
